Date,Time,SP,Type,Family,Genus,Species,Common_name,*NEED TO CONFIRM,Notes
06/02/2023,12:55,PS1,AF,,Populus,balsamifera,Balsam_Poplar,,
06/02/2023,12:14,PS2,EF,,Populus,balsamifera,Balsam_Poplar,,
06/02/2023,12:16,PS2,AF,,Spiraea ,alba,White meadowsweet,,
06/02/2023,12:12,PS2,CAT.ADJ,,Ulmus ,,Elm,,
06/02/2023,12:07,PS2,CAT.F,,Prunus,,,,
06/02/2023,11:37,PS3,AF,,Prunus,virginiana,chokecherry,,
06/02/2023,11:37,PS3,EF,,Crataegus,chrysocarpa,Hawthorns (fireberry),,
06/02/2023,11:37,PS3,RANDOM,,,,,,iNat update needed
06/02/2023,11:45,PS4,CAT.ADJ,,Cornus ,sericea,Red osier dogwood,,
06/02/2023,11:38,PS4,EF,,Populus,tremuloides,Trembling_Aspen,,
06/02/2023,11:37,PS4,AF,,Spiraea,alba,white meadowsweet,,
06/02/2023,11:42,PS4,CAT.F,,Populus,tremuloides,Trembling_Aspen,,
06/02/2023,12:27,PS5,RANDOM,,Salix,lucida,Shining Willow,,
06/02/2023,12:15,PS5,EF,,Populus,tremuloides,Trembling_Aspen,,
06/02/2023,12:13,PS5,AF,,Ulmus,americana,American elm,,
06/03/2023,13:24,CP2,AF,,Ulmus ,americana,American elm,,
06/03/2023,13:22,CP2,CAT.F,,Prunus,,,,
06/03/2023,13:28,CP2,CAT.ADJ,,Crataegus,,Hawthorns,,
06/03/2023,13:28,CP2,EF,,Lonicera ,morrowii,Morrow's honeysuckle,,
06/03/2023,12:30,CP3,AF,,Populus,tremuloides,Trembling_Aspen,,
06/03/2023,12:30,CP3,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
06/03/2023,12:30,CP3,EF,,Populus,tremuloides,Trembling_Aspen,,
06/03/2023,12:00,CP4,AF,,Crataegus,,Hawthorns,,
06/03/2023,11:58,CP4,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
06/03/2023,12:00,CP4,EF,,Populus,tremuloides,Trembling_Aspen,,
06/03/2023,11:30,CP5,EF,,Crataegus,chrysocarpa,fireberry hawthorn,,
06/03/2023,11:30,CP5,AF,,Lonicera,,Honeysuckle,,
06/03/2023,11:30,CP5,CAT.F,,Crataegus,,Hawthorns,,
06/03/2023,11:30,CP5,CAT.ADJ,,Crataegus,,Hawthorns,,
06/03/2023,12:32,CP6,CAT.F,,Prunus,virginiana,Chokecherry,,
06/03/2023,11:53,CP6,AF,,Salix,bebbiana ,Bebb's willow,Y,
06/03/2023,12:10,CP6,CAT.ADJ,,Lonicera ,morrowii,Morrow's honeysuckle,,
06/03/2023,12:04,CP6,CAT.F,,Lonicera ,morrowii,Morrow's honeysuckle,,
06/03/2023,11:50,CP6,EF,,Populus,tremuloides,Trembling_Aspen,,
06/03/2023,12:39,CP7,CAT.ADJ,,Lonicera ,tatarica,Tatarian honeysuckle,,
06/03/2023,12:31,CP7,EF,,Lonicera,morrowii,morrow honeysuckle,,
06/03/2023,12:30,CP7,AF,,Prunus,virginiana,chokecherry,,
06/13/2023,10:40,NB1,CAT.ADJ,,Populus,balsamifera,Balsam_Poplar,,
06/13/2023,10:43,NB1,CAT.F,,Prunus,virginiana,Chokecherry,,
06/13/2023,10:50,NB1,AF,,Crataegus,chrysocarpa,fireberry hawthorn,,
06/13/2023,10:45,NB1,EF,,Prunus,serotina,Black cherry ,,
06/13/2023,12:00,NB2,AF,,,,,,Downy arrowood or prunus??????
06/13/2023,11:52,NB2,CAT.ADJ,,Rhus,aromatica,Fragrant sumac,,
06/13/2023,11:58,NB2,CAT.F,,Prunus,,,,
06/13/2023,12:03,NB2,EF,,Prunus,virginiana,chokecherry,,
06/13/2023,11:47,NB3,CAT.ADJ,,Populus,tremuloides,Trembling_Aspen,,
06/13/2023,11:13,NB3,CAT.F,,Prunus,,,,
06/13/2023,11:23,NB3,AF,,Acer ,rubrum,red maple,,
06/13/2023,11:31,NB3,EF,,Prunus,virginiana,chokecherry,,
06/13/2023,13:10,NB5,EF,,Prunus,serotina,Black cherry ,,
06/13/2023,13:08,NB5,CAT.F,,Prunus,,,,
06/13/2023,13:22,NB5,AF,,Prunus,,,,
06/13/2023,13:13,NB5,CAT.ADJ,,Populus,tremuloides,Trembling_Aspen,,
06/14/2023,12:27,PS1,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
06/14/2023,12:31,PS1,AF,,Populus,balsamifera,Balsam_Poplar,,
06/14/2023,12:37,PS1,EF,,Populus,tremuloides,Trembling_Aspen,,
06/14/2023,13:18,PS2,EF,,Populus,balsamifera,Balsam_Poplar,,
06/14/2023,13:21,PS2,AF,,Spiraea,alba,white meadowsweet,,
06/14/2023,13:25,PS2,RANDOM,,Populus,balsamifera,Balsam_Poplar,,
06/14/2023,13:50,PS3,CAT.F,,Prunus,virginiana,chokecherry,,
06/14/2023,13:46,PS3,EF,,Crataegus,chrysocarpa,fireberry hawthorn,,
06/14/2023,13:29,PS3,AF,,Prunus,virginiana,chokecherry,,
06/14/2023,13:52,PS3,CAT.ADJ,,Prunus,virginiana,chokecherry,,
06/14/2023,14:11,PS4,EF,,Populus,tremuloides,Trembling_Aspen,,
06/14/2023,14:02,PS4,RANDOM,,Populus,tremuloides,Trembling_Aspen,,
06/14/2023,14:13,PS4,AF,,Spiraea,alba,white meadowsweet,,
06/14/2023,14:49,PS5,RANDOM,,Spiraea,alba,white meadowsweet,,
